well_id,category,is_outlier,plate_number
A1,good_growth,False,1
A2,contamination,True,1
A3,good_growth,False,1
A4,bubbles,True,1
A5,good_growth,False,1
A6,good_growth,False,1
A7,good_growth,False,1
A8,noisy,True,1
A9,good_growth,False,1
A10,good_growth,False,1
A11,good_growth,False,1
A12,bubbles,True,1
B1,contamination,True,1
B2,declining,True,1
B3,noisy,True,1
B4,good_growth,False,1
B5,good_growth,False,1
B6,good_growth,False,1
B7,good_growth,False,1
B8,noisy,True,1
B9,good_growth,False,1
B10,good_growth,False,1
B11,good_growth,False,1
B12,good_growth,False,1
C1,good_growth,False,1
C2,good_growth,False,1
C3,good_growth,False,1
C4,good_growth,False,1
C5,good_growth,False,1
C6,no_growth,True,1
C7,good_growth,False,1
C8,good_growth,False,1
C9,good_growth,False,1
C10,good_growth,False,1
C11,good_growth,False,1
C12,good_growth,False,1
D1,good_growth,False,1
D2,good_growth,False,1
D3,good_growth,False,1
D4,good_growth,False,1
D5,good_growth,False,1
D6,good_growth,False,1
D7,good_growth,False,1
D8,good_growth,False,1
D9,good_growth,False,1
D10,good_growth,False,1
D11,good_growth,False,1
D12,no_growth,True,1
E1,good_growth,False,1
E2,bubbles,True,1
E3,noisy,True,1
E4,good_growth,False,1
E5,good_growth,False,1
E6,good_growth,False,1
E7,good_growth,False,1
E8,noisy,True,1
E9,noisy,True,1
E10,good_growth,False,1
E11,good_growth,False,1
E12,no_growth,True,1
F1,good_growth,False,1
F2,declining,True,1
F3,good_growth,False,1
F4,noisy,True,1
F5,good_growth,False,1
F6,no_growth,True,1
F7,good_growth,False,1
F8,no_growth,True,1
F9,no_growth,True,1
F10,good_growth,False,1
F11,good_growth,False,1
F12,good_growth,False,1
G1,good_growth,False,1
G2,good_growth,False,1
G3,good_growth,False,1
G4,bubbles,True,1
G5,good_growth,False,1
G6,good_growth,False,1
G7,declining,True,1
G8,good_growth,False,1
G9,good_growth,False,1
G10,good_growth,False,1
G11,good_growth,False,1
G12,good_growth,False,1
H1,bubbles,True,1
H2,no_growth,True,1
H3,noisy,True,1
H4,good_growth,False,1
H5,good_growth,False,1
H6,no_growth,True,1
H7,good_growth,False,1
H8,declining,True,1
H9,good_growth,False,1
H10,good_growth,False,1
H11,good_growth,False,1
H12,good_growth,False,1
